Sample,Time_ms,Pressure_Pa
9379,73253,102139
9380,73258,102139
9381,73268,102139
9382,73273,102139
9383,73284,102139
9384,73289,102140
9385,73299,102140
9386,73304,102141
9387,73315,102141
9388,73320,102141
9389,73330,102141
9390,73335,102142
9391,73346,102142
9392,73350,102142
9393,73361,102142
9394,73366,102142
9395,73377,102142
9396,73381,102141
9397,73392,102141
9398,73397,102141
9399,73407,102141
9400,73412,102142
9401,73423,102142
9402,73428,102142
9403,73438,102142
9404,73443,102142
9405,73454,102142
9406,73459,102142
9407,73469,102142
9408,73474,102141
9409,73485,102141
9410,73489,102142
9411,73500,102142
9412,73505,102142
9413,73516,102142
9414,73520,102142
9415,73531,102142
9416,73536,102142
9417,73546,102142
9418,73551,102142
9419,73562,102142
9420,73567,102141
9421,73577,102141
9422,73582,102141
9423,73593,102141
9424,73598,102141
9425,73608,102141
9426,73613,102140
9427,73624,102140
9428,73628,102140
9429,73639,102140
9430,73644,102140
9431,73655,102140
9432,73659,102141
9433,73670,102141
9434,73675,102141
9435,73685,102141
9436,73690,102141
9437,73701,102141
9438,73706,102142
9439,73716,102142
9440,73721,102141
9441,73732,102141
9442,73737,102141
9443,73747,102141
9444,73752,102142
9445,73763,102142
9446,73767,102144
9447,73778,102144
9448,73783,102144
9449,73794,102144
9450,73798,102143
9451,73809,102143
9452,73814,102142
9453,73824,102142
9454,73829,102142
9455,73840,102142
9456,73845,102142
9457,73855,102142
9458,73860,102142
9459,73871,102142
9460,73876,102142
9461,73886,102142
9462,73891,102142
9463,73902,102142
9464,73906,102142
9465,73917,102142
9466,73922,102142
9467,73933,102142
9468,73937,102142
9469,73948,102142
9470,73953,102141
9471,73963,102141
9472,73968,102140
9473,73979,102140
9474,73984,102140
9475,73994,102140
9476,73999,102141
9477,74010,102141
9478,74015,102142
9479,74025,102142
9480,74030,102142
9481,74041,102142
9482,74045,102141
9483,74056,102141
9484,74061,102142
9485,74072,102142
9486,74076,102142
9487,74087,102142
9488,74092,102142
9489,74102,102142
9490,74107,102142
9491,74118,102142
9492,74123,102142
9493,74133,102142
9494,74138,102142
9495,74149,102142
9496,74154,102142
9497,74164,102142
9498,74169,102142
9499,74180,102142
9500,74235,102141
9501,74245,102141
9502,74250,102143
9503,74261,102143
9504,74266,102142
9505,74276,102142
9506,74281,102141
9507,74292,102141
9508,74296,102142
9509,74307,102142
9510,74312,102143
9511,74323,102143
9512,74327,102144
9513,74338,102144
9514,74343,102143
9515,74353,102143
9516,74358,102142
9517,74369,102142
9518,74374,102141
9519,74384,102141
9520,74389,102141
9521,74400,102141
9522,74405,102142
9523,74415,102142
9524,74420,102143
9525,74431,102143
9526,74435,102142
9527,74446,102142
9528,74451,102143
9529,74462,102143
9530,74466,102143
9531,74477,102143
9532,74482,102144
9533,74492,102144
9534,74497,102143
9535,74508,102143
9536,74513,102144
9537,74523,102144
9538,74528,102143
9539,74539,102143
9540,74544,102143
9541,74554,102143
9542,74559,102143
9543,74570,102143
9544,74574,102142
9545,74585,102142
9546,74590,102143
9547,74601,102143
9548,74605,102142
9549,74616,102142
9550,74621,102142
9551,74631,102142
9552,74636,102143
9553,74647,102143
9554,74652,102142
9555,74662,102142
9556,74667,102142
9557,74678,102142
9558,74683,102143
9559,74693,102143
9560,74698,102145
9561,74709,102145
9562,74713,102145
9563,74724,102145
9564,74729,102145
9565,74739,102145
9566,74744,102143
9567,74755,102143
9568,74760,102143
9569,74770,102143
9570,74775,102142
9571,74786,102142
9572,74791,102143
9573,74801,102143
9574,74806,102143
9575,74817,102143
9576,74821,102143
9577,74832,102143
9578,74837,102143
9579,74848,102143
9580,74852,102143
9581,74863,102143
9582,74868,102143
9583,74878,102143
9584,74883,102143
9585,74894,102143
9586,74899,102143
9587,74909,102143
